Date,Open,High,Low,Close,Volume
2020-06-30,0.48600000,0.48740000,0.47390000,0.48300000,98256.67000000
2020-07-01,0.48020000,0.51640000,0.47800000,0.51480000,262237.03000000
2020-07-02,0.51480000,0.53180000,0.47760000,0.49110000,261100.10000000
2020-07-03,0.49140000,0.49550000,0.48510000,0.49030000,75361.32000000
2020-07-04,0.49070000,0.51340000,0.48770000,0.50340000,105757.62000000
2020-07-05,0.50340000,0.50940000,0.48470000,0.50350000,126809.01000000
2020-07-06,0.50430000,0.51520000,0.49910000,0.51350000,193622.71000000
2020-07-07,0.51350000,0.51990000,0.50150000,0.50850000,151362.56000000
2020-07-08,0.50800000,0.52900000,0.50390000,0.52340000,152598.90000000
2020-07-09,0.52310000,0.54000000,0.50430000,0.52750000,320786.61000000
2020-07-10,0.52710000,0.52710000,0.49990000,0.50990000,212232.19000000
2020-07-11,0.51070000,0.51510000,0.50310000,0.51150000,205100.67000000
2020-07-12,0.51220000,0.52010000,0.51000000,0.51320000,211268.35000000
2020-07-13,0.51310000,0.52840000,0.50730000,0.51400000,251931.09000000
2020-07-14,0.51380000,0.51910000,0.49810000,0.51670000,258801.32000000
2020-07-15,0.51680000,0.52800000,0.50890000,0.52140000,171420.18000000
2020-07-16,0.52130000,0.54720000,0.48480000,0.49860000,537751.30000000
2020-07-17,0.49720000,0.49840000,0.48300000,0.49230000,257064.21000000
2020-07-18,0.49240000,0.53970000,0.48550000,0.51610000,296553.17000000
2020-07-19,0.51640000,0.54000000,0.50800000,0.51470000,432046.40000000
2020-07-20,0.51480000,0.52940000,0.50760000,0.51280000,201660.11000000
2020-07-21,0.51270000,0.52090000,0.50610000,0.51370000,180908.25000000
2020-07-22,0.51370000,0.52340000,0.50900000,0.51720000,175900.65000000
2020-07-23,0.51540000,0.51860000,0.51000000,0.51080000,262183.41000000
2020-07-24,0.51070000,0.51570000,0.50040000,0.50120000,204787.49000000
2020-07-25,0.50110000,0.51000000,0.49690000,0.49970000,313323.00000000
2020-07-26,0.49950000,0.50830000,0.49230000,0.49690000,246618.90000000
2020-07-27,0.49850000,0.55970000,0.49310000,0.53580000,610696.72000000
2020-07-28,0.53890000,0.54600000,0.52300000,0.53460000,393358.11000000
2020-07-29,0.53690000,0.53940000,0.52520000,0.52920000,290258.98000000
2020-07-30,0.52940000,0.53170000,0.51540000,0.52980000,249525.85000000
2020-07-31,0.53000000,0.53120000,0.51410000,0.51620000,267877.54000000
2020-08-01,0.51610000,0.52950000,0.51500000,0.52790000,213802.90000000
2020-08-02,0.52760000,0.53990000,0.48550000,0.50360000,489171.02000000
2020-08-03,0.50370000,0.52750000,0.49960000,0.51870000,334657.41000000
2020-08-04,0.51880000,0.52510000,0.51430000,0.51560000,202672.91000000
2020-08-05,0.51740000,0.53170000,0.51440000,0.53060000,262475.45000000
2020-08-06,0.53100000,0.53300000,0.52060000,0.52810000,266458.58000000
2020-08-07,0.52800000,0.53310000,0.50200000,0.51710000,282882.63000000
2020-08-08,0.51790000,0.53410000,0.51490000,0.53400000,278439.97000000
2020-08-09,0.53400000,0.58830000,0.52660000,0.57550000,685092.80000000
2020-08-10,0.57570000,0.61590000,0.57220000,0.60360000,681834.16000000
2020-08-11,0.60520000,0.86000000,0.59660000,0.68000000,4189517.46000000
2020-08-12,0.68000000,0.73990000,0.60970000,0.69000000,1456093.58000000
2020-08-13,0.68770000,0.74900000,0.64330000,0.69600000,967313.13000000
2020-08-14,0.69530000,0.76220000,0.66890000,0.69080000,520657.75000000
2020-08-15,0.69100000,0.69470000,0.65050000,0.65940000,335593.08000000
2020-08-16,0.65920000,0.66230000,0.62830000,0.65810000,379240.21000000
2020-08-17,0.65820000,0.68500000,0.65060000,0.67130000,362121.53000000
2020-08-18,0.66680000,0.79990000,0.66650000,0.68810000,2652350.49000000
2020-08-19,0.68770000,0.71210000,0.65600000,0.66060000,1144815.10000000
2020-08-20,0.66060000,0.68070000,0.65120000,0.67980000,1092416.54000000
2020-08-21,0.67990000,0.76120000,0.67950000,0.69480000,2670631.31000000
2020-08-22,0.69180000,0.77290000,0.67600000,0.75910000,1716528.51000000
2020-08-23,0.75820000,0.75910000,0.70500000,0.71350000,2211794.24000000
2020-08-24,0.71370000,0.82950000,0.71000000,0.79930000,4090981.50000000
2020-08-25,0.79930000,1.00990000,0.78130000,0.89600000,8817827.72000000
2020-08-26,0.89330000,0.93560000,0.81620000,0.83660000,2148915.27000000
2020-08-27,0.83250000,0.83630000,0.72560000,0.74530000,1268631.10000000
2020-08-28,0.74840000,0.79910000,0.73250000,0.76950000,848194.49000000
2020-08-29,0.76990000,0.78840000,0.73220000,0.74050000,483279.14000000
2020-08-30,0.74050000,0.78340000,0.73610000,0.75190000,531497.79000000
2020-08-31,0.75200000,0.76520000,0.71200000,0.71510000,658597.91000000
2020-09-01,0.71510000,0.73100000,0.67530000,0.67940000,933529.24000000
2020-09-02,0.67920000,0.78150000,0.66170000,0.73470000,2291083.49000000
2020-09-03,0.73360000,0.73830000,0.54000000,0.55290000,1375676.19000000
2020-09-04,0.55550000,0.63370000,0.54450000,0.62000000,820189.11000000
2020-09-05,0.61980000,0.63070000,0.51330000,0.53690000,523455.60000000
2020-09-06,0.53800000,0.58620000,0.52000000,0.57380000,464857.94000000
2020-09-07,0.57460000,0.64480000,0.53520000,0.58760000,941478.58000000
2020-09-08,0.59160000,0.66610000,0.58430000,0.64050000,647679.61000000
2020-09-09,0.64110000,0.73600000,0.61920000,0.69040000,1320836.91000000
2020-09-10,0.69410000,0.71600000,0.66640000,0.68590000,829801.65000000
2020-09-11,0.68530000,0.68530000,0.62720000,0.66510000,431701.93000000
2020-09-12,0.66320000,0.66320000,0.63380000,0.64380000,216381.20000000
2020-09-13,0.64610000,0.68200000,0.62510000,0.63640000,370580.91000000
2020-09-14,0.63560000,0.67560000,0.62400000,0.67170000,275845.55000000
2020-09-15,0.67230000,0.71550000,0.66400000,0.67370000,438477.43000000
2020-09-16,0.67350000,0.67350000,0.62220000,0.63390000,227257.11000000
2020-09-17,0.63390000,0.65530000,0.60420000,0.61540000,367412.97000000
2020-09-18,0.61540000,0.61560000,0.58280000,0.58570000,160533.73000000
2020-09-19,0.58590000,0.59700000,0.58160000,0.58710000,77054.88000000
2020-09-20,0.58670000,0.58970000,0.54940000,0.55540000,132231.17000000
